IBM-rf,Mkt-rf,HML,SMB
0.024039136,0.026800000,-0.022300000,0.031300000
0.099529843,0.009900000,-0.020900000,0.012600000
0.026578960,0.041800000,0.021500000,0.036800000
-0.024442857,-0.034100000,0.011800000,0.004400000
0.044225581,0.057500000,-0.006200000,0.031800000
-0.012419890,0.000500000,0.011200000,0.021700000
-0.030397558,-0.021800000,0.014800000,0.002500000
-0.042152213,0.038800000,0.013400000,0.011500000
-0.057053702,0.007300000,0.017900000,0.013000000
0.008369221,0.057000000,-0.015500000,0.020200000
-0.041146715,-0.006900000,-0.008900000,-0.002900000
-0.087945283,-0.081400000,-0.018800000,-0.032900000
0.051575410,0.053700000,-0.032900000,0.027900000
-0.023657014,0.018700000,-0.020100000,0.041700000
0.058579634,0.057600000,0.017800000,0.016800000
-0.072547491,-0.007900000,0.005500000,-0.018100000
-0.133668627,-0.132300000,-0.010400000,-0.066300000
-0.028969048,0.039700000,0.010600000,0.010500000
0.017618608,0.052000000,0.003600000,0.020800000
0.054371976,0.031600000,-0.008600000,0.016900000
0.105965647,0.064100000,-0.061500000,0.042600000
0.009870338,0.017200000,-0.027500000,0.039800000
-0.028435961,0.022000000,-0.046600000,0.009200000
0.029493711,0.010600000,-0.028000000,0.025200000
0.026719613,0.095300000,-0.084600000,-0.033400000
-0.016604673,-0.047500000,0.026800000,-0.003300000
-0.061982649,-0.050500000,0.068400000,0.029400000
0.000424845,0.004800000,0.010800000,-0.003400000
-0.041439853,0.034100000,0.006600000,0.035100000
-0.069993955,-0.022100000,0.022900000,0.044000000
0.004564257,0.002100000,-0.004300000,0.020300000
-0.027992754,-0.023700000,0.051400000,-0.008600000
-0.041811765,-0.015500000,-0.006100000,-0.021400000
-0.016932231,-0.069100000,0.047800000,-0.019600000
-0.030380636,-0.076200000,0.052200000,-0.026400000
-0.059987324,0.048100000,-0.042000000,0.022000000
0.064743787,0.035200000,0.018700000,-0.010400000
0.035316506,-0.036800000,0.007900000,0.012100000
0.110577075,-0.034200000,0.031200000,-0.011900000
-0.023334276,-0.060300000,0.060000000,0.004900000
-0.044447551,-0.019900000,0.039000000,-0.001800000
0.064195050,0.032000000,-0.027500000,0.015500000
-0.040519448,-0.038800000,0.018500000,0.005300000
-0.023834875,-0.033500000,0.015400000,-0.003700000
0.071329122,-0.031000000,0.002400000,0.009400000
0.081387764,0.111400000,0.011400000,-0.041800000
0.035758018,0.011700000,0.004100000,0.029600000
0.082421884,0.112700000,-0.037300000,0.023000000
0.087478179,0.045600000,-0.019100000,0.047800000
0.106243116,0.007800000,0.000400000,-0.001800000
0.020507407,0.035000000,-0.009100000,0.026900000
0.003893727,0.024000000,0.007200000,0.032600000
0.021537259,0.028400000,0.020600000,0.017900000
0.142900000,0.067100000,0.005700000,0.004800000
-0.048566667,0.006300000,-0.014700000,0.061500000
0.074585444,0.031100000,-0.038600000,0.009600000
-0.006234499,-0.039000000,0.056300000,0.015300000
-0.007017928,-0.004100000,0.054900000,-0.043300000
0.054063758,0.008500000,0.010400000,0.005700000
-0.008695890,-0.035600000,0.049800000,-0.036000000
-0.073922655,0.022600000,-0.006900000,0.019800000
0.032088595,-0.017800000,0.016900000,-0.002800000
-0.072079638,-0.020600000,0.075800000,-0.004100000
-0.033097582,-0.046200000,0.033400000,-0.016600000
0.025598821,0.006100000,0.005000000,0.001200000
-0.009301923,-0.005600000,0.013100000,-0.011300000
-0.052926354,-0.060100000,0.002300000,0.000500000
-0.025773472,0.015900000,-0.025700000,-0.002500000
0.038013094,-0.028800000,0.002800000,-0.023200000
